300	15
600	-25
900	-15
1200	10
1500	-35
1800	5
2100	-25
2400	0
2700	-20
3000	15
3300	-15
3600	-20
3900	-25
4200	-45
4500	5
4800	5
5100	-15
5400	10
5700	-35
6000	-5
6300	-10
6600	-55
6900	-15
7200	-25
7500	-10
7800	-5
8100	10
8400	-25
8700	-25
9000	-10
9300	-10
9600	30
9900	0
10200	-10
10500	-25
10800	15
11100	10
11400	0
11700	-25
12000	-10
12300	20
12600	15
12900	5
13200	30
13500	-20
13800	25
14100	-20
14400	10
14700	25
15000	-10
15300	0
15600	10
15900	-30
16200	-20
16500	-35
16800	0
17100	5
17400	5
17700	0
18000	-30
18300	-25
18600	10
18900	40
19200	-35
19500	30
19800	15
20100	40
20400	-5
20700	30
21000	25
21300	-5
21600	25
21900	5
22200	10
22500	-15
22800	10
23100	75
23400	20
23700	30
24000	65
24300	50
24600	40
24900	20
25200	0
25500	20
25800	50
26100	25
26400	60
26700	35
27000	45
27300	40
27600	20
27900	-5
28200	10
28500	70
28800	65
29100	15
29400	105
29700	80
30000	35
30300	65
30600	50
30900	55
31200	65
31500	10
31800	45
32100	35
32400	20
32700	30
33000	55
33300	0
33600	30
33900	55
34200	65
34500	95
34800	125
35100	20
35400	70
35700	50
36000	120
36300	25
36600	50
36900	105
37200	15
37500	50
37800	70
38100	5
38400	15
38700	55
39000	95
39300	75
39600	75
39900	40
40200	35
40500	60
40800	100
41100	75
41400	65
41700	145
42000	40
42300	55
42600	100
42900	120
43200	60
43500	70
43800	160
44100	25
44400	35
44700	135
45000	10
45300	85
45600	130
45900	125
46200	95
46500	115
46800	85
47100	30
47400	45
47700	125
48000	100
48300	185
48600	30
48900	100
49200	65
49500	10
49800	100
50100	95
50400	45
50700	90
51000	85
51300	110
51600	85
51900	135
52200	125
52500	150
52800	90
53100	35
53400	135
53700	115
54000	140
54300	70
54600	105
54900	130
55200	100
55500	125
55800	30
56100	95
56400	80
56700	35
57000	85
57300	100
57600	95
57900	105
58200	70
58500	130
58800	25
59100	115
59400	100
59700	100
60000	70
60300	105
60600	145
60900	165
61200	125
61500	50
61800	90
62100	180
62400	145
62700	125
63000	135
63300	165
63600	75
63900	35
64200	135
64500	165
64800	135
65100	60
65400	185
65700	185
66000	140
66300	235
66600	130
66900	160
67200	65
67500	200
67800	125
68100	140
68400	60
68700	115
69000	105
69300	45
69600	105
69900	190
70200	95
70500	105
70800	60
